depth,latitude,longitude,time,so
1.0182366,37.895832,23.541666,2025-11-26,39.09789
1.0182366,37.895832,23.541666,2025-11-27,39.100166
1.0182366,37.895832,23.541666,2025-11-28,39.089363
1.0182366,37.895832,23.541666,2025-11-29,39.0917
1.0182366,37.895832,23.541666,2025-11-30,39.093723
1.0182366,37.895832,23.541666,2025-12-01,39.09693
1.0182366,37.895832,23.541666,2025-12-02,39.09838
1.0182366,37.895832,23.541666,2025-12-03,39.097782
1.0182366,37.895832,23.541666,2025-12-04,39.07044
1.0182366,37.895832,23.541666,2025-12-05,38.855698
1.0182366,37.895832,23.541666,2025-12-06,39.05539
1.0182366,37.895832,23.541666,2025-12-07,39.056477
1.0182366,37.895832,23.541666,2025-12-08,39.05751
1.0182366,37.895832,23.541666,2025-12-09,39.062702
1.0182366,37.895832,23.541666,2025-12-10,39.06578
1.0182366,37.895832,23.541666,2025-12-11,39.06828
1.0182366,37.895832,23.541666,2025-12-12,39.069942
1.0182366,37.895832,23.541666,2025-12-13,39.0725
1.0182366,37.895832,23.541666,2025-12-14,39.075638
1.0182366,37.895832,23.541666,2025-12-15,39.078346
1.0182366,37.895832,23.541666,2025-12-16,39.08087
1.0182366,37.895832,23.583334,2025-11-16,39.081226
1.0182366,37.895832,23.583334,2025-11-17,39.08142
1.0182366,37.895832,23.583334,2025-11-18,39.082745
1.0182366,37.895832,23.583334,2025-11-19,39.08482
1.0182366,37.895832,23.583334,2025-11-20,39.088146
1.0182366,37.895832,23.583334,2025-11-21,39.091522
1.0182366,37.895832,23.583334,2025-11-22,39.09444
1.0182366,37.895832,23.583334,2025-11-23,39.095753
1.0182366,37.895832,23.583334,2025-11-24,39.098824
1.0182366,37.895832,23.583334,2025-11-25,39.099636
1.0182366,37.895832,23.583334,2025-11-26,39.099663
1.0182366,37.895832,23.583334,2025-11-27,39.10022
1.0182366,37.895832,23.583334,2025-11-28,39.091377
1.0182366,37.895832,23.583334,2025-11-29,39.088192
1.0182366,37.895832,23.583334,2025-11-30,39.08829
1.0182366,37.895832,23.583334,2025-12-01,39.091713
1.0182366,37.895832,23.583334,2025-12-02,39.091618
1.0182366,37.895832,23.583334,2025-12-03,39.08982
1.0182366,37.895832,23.583334,2025-12-04,39.072132
1.0182366,37.895832,23.583334,2025-12-05,38.888317
1.0182366,37.895832,23.583334,2025-12-06,39.046062
1.0182366,37.895832,23.583334,2025-12-07,39.049095
1.0182366,37.895832,23.583334,2025-12-08,39.051826
1.0182366,37.895832,23.583334,2025-12-09,39.05743
1.0182366,37.895832,23.583334,2025-12-10,39.06237
1.0182366,37.895832,23.583334,2025-12-11,39.06627
1.0182366,37.895832,23.583334,2025-12-12,39.068676
1.0182366,37.895832,23.583334,2025-12-13,39.07284
1.0182366,37.895832,23.583334,2025-12-14,39.0761
1.0182366,37.895832,23.583334,2025-12-15,39.078823
1.0182366,37.895832,23.583334,2025-12-16,39.081276
1.0182366,37.895832,23.625,2025-11-16,39.08118
